reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,bank
29d8b281-c802-4996-8dc3-eb99d78a43ed,Mubarek Jemal,https://play-lh.googleusercontent.com/a-/ALV-UjUwla0FLEflfCSPN9DwSp4H5pXxy8WxWb2-gP2Yd0hA5Pem36w,Its good app than other compitators but it confuse when we transfer it needs OTP and PIN most user inter their pin instead of OTP we know the litrecy level of our society so if it is device based i dont know the needs of OTP so please try to fix,3,28,1.0.16,2025-05-18 13:32:58,,,1.0.16,DASHEN
8ab908fa-9eb8-4b9a-9f76-707e01b53848,Sintayehu Belay,https://play-lh.googleusercontent.com/a-/ALV-UjXgezUTNG_1NMl8P-mYlo4Kcwc8G_n1L80HADFvXUfVCypDvuAL,dashen bank or dashen super app?,1,0,,2025-05-17 16:44:29,,,,DASHEN
d3ab193b-503c-4530-8148-cf50387c8b26,Katamaa Habtamuu,https://play-lh.googleusercontent.com/a/ACg8ocLJLlgsBlPR08HljesSDorBjmE60Wl3SSShZ3ZcSjPtZm5NVQ=mo,wowwwe app,5,0,,2025-05-17 11:30:07,,,,DASHEN
85c0cebd-10ec-4dd1-9e5b-647b9012acf4,Ribka Dawit,https://play-lh.googleusercontent.com/a/ACg8ocJWpINSggANCV3h4d8mFIgW2bVw6oKm5ZDVDzntZZwUUf4JLg=mo,"Transferring to other bank accounts is a hastle and inconvenient .Get used to seeing "" please try again """,2,0,,2025-05-17 11:03:32,,,,DASHEN
c0dbb81a-2d73-4409-ba41-2287a340b4d9,Melaku Temesgen,https://play-lh.googleusercontent.com/a/ACg8ocJEysciAfKVl7I7o-Q9NFrqG2JiB90du8208fGbBpSOpM3Oew=mo,good,5,0,1.0.16,2025-05-16 21:56:27,,,1.0.16,DASHEN
1d4a769a-320a-4f19-a945-44c214f880ae,Hamza Musema,https://play-lh.googleusercontent.com/a/ACg8ocL7zv2ygQxIDFpB3O0OIN5VRMTENi01_FPkZjLlUPmNuPMd_w=mo,always lagging,1,0,1.0.16,2025-05-16 16:30:56,,,1.0.16,DASHEN
862138db-f7c6-4c78-bb5d-e28619cdb514,Yeshanew Kebede,https://play-lh.googleusercontent.com/a-/ALV-UjUpJisS3sWGlPe0rfk-5yFfiKWAOTNdfREGhn-yTEr3bThR29As,Amazing Application...,5,0,,2025-05-16 11:23:47,,,,DASHEN
a3e55437-92a6-4f5f-a9d5-45e561a077b0,Alemseged Adila,https://play-lh.googleusercontent.com/a-/ALV-UjUKhoT-91D59BgqPjd2hl2L_4h00EQ_PvVzVbod6b6uZ4zOtK60,Fantastic,5,0,1.0.16,2025-05-16 10:07:49,,,1.0.16,DASHEN
d8ab69ab-7277-493d-a2d5-0db4fd48635c,Molu Sodie,https://play-lh.googleusercontent.com/a/ACg8ocI-iT2jNHpEccNfwQPl_Ipcmw86G0xQqp3N7-VsDkHX3HltiA=mo,"Dashen bank app is very good, but sometimes it is not working well",5,0,1.0.16,2025-05-15 22:32:51,,,1.0.16,DASHEN
499d89e8-8b7e-4641-b477-29ab5a5d314a,TESFA Dagne,https://play-lh.googleusercontent.com/a/ACg8ocKRhK1iOyd_pXOzrXUy2-c95M7vibMvkkm3P-T-r73CU3NYvQ=mo,its my choice,5,0,1.0.16,2025-05-15 21:15:44,,,1.0.16,DASHEN
37daf582-3061-44eb-9685-2bcf106833ec,Obsaa Bahaaruu,https://play-lh.googleusercontent.com/a-/ALV-UjV3pduISusW9Tl_rA6fkAkmY4PiTbNeGbP5OH60eydvemUlElY,wow apo,5,0,,2025-05-15 11:28:50,,,,DASHEN
f14bbcf2-d3c7-4eb9-bf61-b8be931c023f,Tsegay Gebregzabher,https://play-lh.googleusercontent.com/a/ACg8ocJP4e-4EhdmyCT1i9hvilTOtVYoZD3RU8UVrz0Z7pmEu8tz7Q=mo,awesome app keep going,5,1,1.0.16,2025-05-14 10:10:44,,,1.0.16,DASHEN
35a40262-8905-40a1-b4bf-a165a043175f,Shamsu Ahamad,https://play-lh.googleusercontent.com/a/ACg8ocIEPiz7gclBemK99GzvEJ4pD3Pigaoszbcplf42ordf96diUg=mo,wow,5,1,,2025-05-14 09:44:58,,,,DASHEN
acf043c7-2644-4526-a5cc-fd97b1c2defb,Yakob Bogale,https://play-lh.googleusercontent.com/a-/ALV-UjVkRi8bQfDHBVGHZUo1kdeqbfxq7pNKsQAx7ogidvkiSAczUi2A,👍,5,1,,2025-05-14 08:07:48,,,,DASHEN
39322571-d8e5-42c6-8c9c-9f31706d5e4f,Yitayal Nigatu,https://play-lh.googleusercontent.com/a/ACg8ocLyqO4OI9ZvJWaqEcMk8P3X-02P8qT9ddR2M_raziAuaDDhzQ=mo,"It grows ethiopian digital banking step ahead.All fetures in one,simple fast and convince.",5,0,1.0.16,2025-05-14 05:39:16,,,1.0.16,DASHEN
7106eec4-cb60-4cf3-8f3b-fe5b0bfb400d,Dawit Taye,https://play-lh.googleusercontent.com/a-/ALV-UjU6-5IbV70Wp8LJBU-vWiqzo2F3eb0MHe-ng0MfC_fcTwdjN9fH,Game changer,5,1,1.0.16,2025-05-13 22:12:29,,,1.0.16,DASHEN
b34cbb10-24ea-4091-93b3-41cd5f5506ec,Agidew Shewalem,https://play-lh.googleusercontent.com/a-/ALV-UjV_C2OvXhKKDfQegmrwvnaNIN6_nIMCySYwB2vHtnBh7eeT-rln,Totally amazing,5,3,1.0.16,2025-05-13 19:46:18,,,1.0.16,DASHEN
9de192e3-daa5-40ec-a906-8969b560f171,Asad Ibrahin,https://play-lh.googleusercontent.com/a/ACg8ocJdMnY3kuuhOuDiHcBqavejE58T6yjSR5Y1avmtfEaOVL_vTA=mo,super 😎,5,1,1.0.16,2025-05-13 14:15:20,,,1.0.16,DASHEN
a1414451-a015-4553-a023-e2f4c2d8cfb9,yoseph gubena,https://play-lh.googleusercontent.com/a-/ALV-UjW6IvcfQL1h83Y6UgueKyim6ZVPtekIJHP1i9ufWie_oFgakInv,what a helpful app!!!!,5,1,1.0.14,2025-05-13 12:09:55,,,1.0.14,DASHEN
be71f8b9-5329-4235-8c92-9be8be76e5cb,Busho Adelo,https://play-lh.googleusercontent.com/a-/ALV-UjUR10XoWX_sDA8K5K1Yir34KBtdxhvQyLck_rp_UMahqIr5_C3u,Good,4,1,1.0.16,2025-05-13 11:42:22,,,1.0.16,DASHEN
c98c51c7-aa99-40ea-af68-8edaad178f28,Mahur Mohammed,https://play-lh.googleusercontent.com/a/ACg8ocIgjVFXWbZZGBSI8MRq2_ykUyqvzqkwvm6yiMcSQhcJi1Ge_A=mo,nice,5,1,,2025-05-13 10:46:37,,,,DASHEN
dd4b209c-49b6-4052-aef2-62d9ddd28a78,Yonas Mengistu,https://play-lh.googleusercontent.com/a/ACg8ocKQCXTUzXrDolh7FUpTVMmzcQqhm8fsWoZuFJoEmLWVz6fJ=mo,wow,5,1,,2025-05-13 08:21:51,,,,DASHEN
d61a5b09-39d5-4502-b270-15c6ad04f19c,Rohobot Worku,https://play-lh.googleusercontent.com/a/ACg8ocKdvHjVVsAF4rN6MPIJ4oHDYUidFrP74Uv4TkTp4ZAK2-OLqA=mo,"To be honest, best banking and lifestyle app in Ethiopia.",5,1,,2025-05-12 16:03:18,,,,DASHEN
f318c783-8bba-478b-9d53-f238dba2e270,Moge,https://play-lh.googleusercontent.com/a/ACg8ocJmmM65FT-LL7m4fPrcWRYNQpnQU5pEkTHTzMlbDoixhLql8g=mo,fast,5,1,,2025-05-12 11:18:46,,,,DASHEN
